iter	AUC	Logloss
0	0.930201127	0.553227029
1	0.9518962869	0.441987035
2	0.9517174546	0.360553
3	0.9526768828	0.2921521625
4	0.9565494152	0.2368054925
5	0.9579986035	0.1941283099
6	0.9583117695	0.1619059858
7	0.9592678072	0.1365588319
8	0.9594715177	0.1172143091
9	0.9589851263	0.1021178787
10	0.9600357746	0.08959220691
11	0.9601794346	0.07982078407
12	0.9611493734	0.07178676189
13	0.9620108662	0.06550980782
14	0.9635671143	0.06010547251
15	0.9634507604	0.05603637623
16	0.9635316419	0.05273759211
17	0.9646024598	0.04966833365
18	0.9651736224	0.04712779759
19	0.9665261346	0.04460995142
20	0.9670470623	0.04272880088
21	0.9674388825	0.0410399016
22	0.9683019589	0.03958498273
23	0.9687770726	0.03846379764
24	0.9694912352	0.03725708916
25	0.969754778	0.03649144593
26	0.9700462504	0.03567479018
27	0.9704089815	0.03510483799
28	0.9707072639	0.03455612218
29	0.9709803906	0.03401071649
30	0.971907425	0.0332913097
31	0.9720444789	0.03289537789
32	0.9721341782	0.03259504458
33	0.972658052	0.03209042562
34	0.9732179279	0.03165223236
35	0.9736976983	0.03122168295
36	0.9738308788	0.03098062637
37	0.9743025829	0.03061002174
38	0.9743723667	0.03041117819
39	0.9745629495	0.03009798689
40	0.9749719798	0.02975818072
41	0.9749732977	0.02962213646
42	0.975365137	0.02935112713
43	0.9755061324	0.0291385312
44	0.9757312259	0.02893241291
45	0.97605733	0.02872508787
46	0.9763273927	0.02849857045
47	0.9763820022	0.02834546306
48	0.9766881265	0.02815262249
49	0.9767675415	0.02800504658
50	0.9769111337	0.02785983868
51	0.9770589593	0.02771024204
52	0.9772186825	0.02757126628
53	0.9772611944	0.02748491273
54	0.977317701	0.02742555847
55	0.9774637107	0.0272923613
56	0.9774776097	0.0272132556
57	0.9778963002	0.02704977579
58	0.9779434919	0.02697076732
59	0.9780589799	0.02684536395
60	0.978134543	0.02676226866
61	0.978208935	0.02668695363
62	0.978392047	0.02656614606
63	0.9785529329	0.02646336517
64	0.9787470633	0.02637786277
65	0.9788280355	0.02630320246
66	0.9788441598	0.02624652149
67	0.9788240064	0.02620954032
68	0.9789688749	0.02613450632
69	0.9790768028	0.0260530099
70	0.9790944084	0.02600429664
71	0.9792024586	0.02595570273
72	0.9792952888	0.0258825137
73	0.9795255807	0.02575746612
74	0.9796368242	0.0256933635
75	0.979766887	0.02562394678
76	0.9799735581	0.02552711882
77	0.980058463	0.02545415532
78	0.9801344848	0.02540966885
79	0.9801752476	0.02537434733
80	0.9801951339	0.02533082714
81	0.9805092618	0.02525326066
82	0.9805699097	0.02520462702
83	0.9805858024	0.02516864933
84	0.9806902746	0.02509505295
85	0.9807348657	0.02507322639
86	0.9807417216	0.02502389192
87	0.9807896004	0.02498856974
88	0.9809077225	0.02490769035
89	0.9809039165	0.02490534164
90	0.9809263448	0.02487941989
91	0.9809457721	0.024842714
92	0.9809633295	0.02480075092
93	0.9810755811	0.02475957182
94	0.9811117428	0.02472687593
95	0.9812515606	0.02463759581
96	0.9815818561	0.0245494409
97	0.9815945997	0.02453194357
98	0.9816489298	0.02449724874
99	0.98169742	0.02445878666
100	0.9816972071	0.02443103363
101	0.9817209723	0.02439198926
102	0.981794396	0.024344682
103	0.9818040218	0.0243368128
104	0.9818191185	0.02431732365
105	0.9818667285	0.02427960522
106	0.9821239098	0.02422710588
107	0.9821507281	0.02420635232
108	0.9821705043	0.02418004131
109	0.982247471	0.02414202421
110	0.9823731523	0.02408037894
111	0.9824229024	0.02405178764
112	0.9825006198	0.02400475227
113	0.9825089319	0.02399414722
114	0.9826147211	0.02394084799
115	0.9826274427	0.02391952503
116	0.9826636481	0.02388462306
117	0.9827596859	0.02383406097
118	0.982845403	0.02379876988
119	0.9828900865	0.02377303242
120	0.9829615527	0.02373991312
121	0.9829950913	0.02371167306
122	0.9831139902	0.02367383856
123	0.9832461507	0.02364762475
124	0.9832579803	0.02363666999
125	0.9833288616	0.02358538201
126	0.9833637971	0.02356015201
127	0.9834438692	0.02354601688
128	0.9835056275	0.02352094926
129	0.9835203742	0.02350510528
130	0.9836864726	0.02345780846
131	0.9837216341	0.02342588921
132	0.9837440368	0.02340752076
133	0.983753101	0.02339594323
134	0.9839294184	0.02333505467
135	0.9841123315	0.02330240646
136	0.984155707	0.02326726008
137	0.9842528608	0.02322718974
138	0.984277043	0.02320649601
139	0.9843159924	0.02318554159
140	0.9843632723	0.02314989031
141	0.9844291699	0.02311874038
142	0.984483226	0.02309643015
143	0.9845089603	0.02307784966
144	0.9845580212	0.0230486396
145	0.9845957448	0.0230306174
146	0.9846656136	0.02299761612
147	0.9847251022	0.02296170292
148	0.9847544167	0.02294543059
149	0.9848413322	0.022901032
150	0.9848990424	0.02286515571
151	0.9849194445	0.02285162316
152	0.9849556189	0.0228233205
153	0.9849752308	0.02281350196
